源数据库字段,常用中文名,源类型,目标类型,敏感级别,涉及流程数,必填占比,目标分布,校验规则摘要,脱敏规则,审计要求
archive_item_count,档案件数,整数,bigint,P1-内部,3,0.0,archive.archive_package.archive_item_count[TYPED_COLUMN]×11；archive.borrow_request.archive_item_count[TYPED_COLUMN]×11；archive.disposal_appraisal.archive_item_count[TYPED_COLUMN]×11,不得小于0,,记录新增与修改
archive_no,档案编号,文本,varchar(64),P1-内部,3,0.0,archive.archive_package.archive_no[TYPED_COLUMN]×6；archive.borrow_request.archive_no[TYPED_COLUMN]×6；archive.disposal_appraisal.archive_no[TYPED_COLUMN]×6,,,记录新增与修改
archive_package_no,归档包编号,文本,jsonb,P1-内部,126,0.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
archive_title,档案题名,文本,varchar(200),P1-内部,3,1.0,archive.archive_package.archive_title[TYPED_COLUMN]×17；archive.borrow_request.archive_title[TYPED_COLUMN]×17；archive.disposal_appraisal.archive_title[TYPED_COLUMN]×17,,,记录新增与修改
asset_condition,状态/成色,枚举,varchar(64),P1-内部,6,0.0,asset.asset_disposal.asset_condition[TYPED_COLUMN]×6；asset.asset_use_transaction.asset_condition[TYPED_COLUMN]×6；asset.stock_in.asset_condition[TYPED_COLUMN]×6；asset.stocktake.asset_condition[TYPED_COLUMN]×6；costume.damage_report.asset_condition[TYPED_COLUMN]×6；costume.inventory_check.asset_condition[TYPED_COLUMN]×6,,,记录新增与修改
attachment_ids,附件清单,文件集合,varchar(128),P2-个人,126,0.0,document.attachment_link.field_code[ATTACHMENT_LINK]×126,类型、大小、病毒扫描、敏感内容校验,,记录新增与修改
attendance_type,假勤类型,枚举,varchar(64),P1-内部,11,1.0,attendance.leave_request.attendance_type[TYPED_COLUMN]×18；attendance.shift_change_request.attendance_type[TYPED_COLUMN]×18；attendance.overtime_request.attendance_type[TYPED_COLUMN]×17；cleaning.cleaning_task.attendance_type[TYPED_COLUMN]×6；collaboration.meeting.attendance_type[TYPED_COLUMN]×6；entertainment.show_session.attendance_type[TYPED_COLUMN]×6；entertainment.staff_shortage.attendance_type[TYPED_COLUMN]×6；entertainment.tech_support_task.attendance_type[TYPED_COLUMN]×6；media.live_session.attendance_type[TYPED_COLUMN]×6；reception.guide_execution.attendance_type[TYPED_COLUMN]×6；security.patrol_task.attendance_type[TYPED_COLUMN]×6,,,记录新增与修改
audience_summary,观众/客流摘要,长文本,text,P1-内部,7,0.0,costume.session_preparation.audience_summary[TYPED_COLUMN]×6；entertainment.program.audience_summary[TYPED_COLUMN]×6；entertainment.show_session.audience_summary[TYPED_COLUMN]×6；entertainment.staff_shortage.audience_summary[TYPED_COLUMN]×6；entertainment.suspension_advice.audience_summary[TYPED_COLUMN]×6；entertainment.suspension_decision.audience_summary[TYPED_COLUMN]×6；entertainment.tech_support_task.audience_summary[TYPED_COLUMN]×6,,,记录新增与修改
audit_events,审计事件清单,子表,jsonb,P1-内部,126,1.0,audit.audit_policy.evidence_chain_policy.audit_events[COMMON_SERVICE]×126,,,记录新增与修改
authentication_method,认证方式,枚举,varchar(64),P1-内部,1,1.0,document.signature_envelope.authentication_method[TYPED_COLUMN]×11,,,记录新增与修改
auto_decision_rules,自动决策规则,JSON,jsonb,P1-内部,126,0.0,workflow.wf_rule.rule_expr.auto_decision_rules[COMMON_SERVICE]×126,,,记录新增与修改
backup_performer_ids,替补人员,人员集合,varchar(64),P1-内部,7,0.0,workflow.wf_business_relation.relation_type[RELATION_LINK]×80,,,记录新增与修改
batch_serial_no,批次/序列号,文本,varchar(128),P1-内部,6,0.0,asset.stocktake.batch_serial_no[TYPED_COLUMN]×12；asset.asset_disposal.batch_serial_no[TYPED_COLUMN]×11；asset.asset_use_transaction.batch_serial_no[TYPED_COLUMN]×11；asset.stock_in.batch_serial_no[TYPED_COLUMN]×11；costume.damage_report.batch_serial_no[TYPED_COLUMN]×11；costume.inventory_check.batch_serial_no[TYPED_COLUMN]×11,,,记录新增与修改
before_after_photos,现场前后照片,文件集合,varchar(128),P1-内部,3,0.0,document.attachment_link.field_code[ATTACHMENT_LINK]×33,,,记录新增与修改
before_snapshot,变更前快照,JSON,jsonb,P1-内部,22,1.0,devops.release_item.item_value_json[CHILD_ITEM]×2；administration.large_event_item.item_value_json[CHILD_ITEM]×1；asset.stocktake_item.item_value_json[CHILD_ITEM]×1；attendance.leave_request_item.item_value_json[CHILD_ITEM]×1；attendance.shift_change_request_item.item_value_json[CHILD_ITEM]×1；catering.meal_card_settlement_item.item_value_json[CHILD_ITEM]×1；content.change_request_item.item_value_json[CHILD_ITEM]×1；education.teacher_schedule_item.item_value_json[CHILD_ITEM]×1；entertainment.show_session_item.item_value_json[CHILD_ITEM]×1；entertainment.staff_shortage_item.item_value_json[CHILD_ITEM]×1；entertainment.suspension_decision_item.item_value_json[CHILD_ITEM]×1；finance.budget_request_item.item_value_json[CHILD_ITEM]×1；finance.reconciliation_task_item.item_value_json[CHILD_ITEM]×1；hr.employee_profile_change_item.item_value_json[CHILD_ITEM]×1；itops.network_change_item.item_value_json[CHILD_ITEM]×1；media.ad_campaign_item.item_value_json[CHILD_ITEM]×1；planning.change_request_item.item_value_json[CHILD_ITEM]×1；procurement.purchase_return_item.item_value_json[CHILD_ITEM]×1；reception.change_request_item.item_value_json[CHILD_ITEM]×1；reward.point_transaction_item.item_value_json[CHILD_ITEM]×1；ticketing.ticket_refund_change_item.item_value_json[CHILD_ITEM]×1,,,记录新增与修改
before_summary,变更前摘要,长文本,jsonb,P1-内部,126,0.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
benefit_amount,奖金/慰问金额,金额,"numeric(18,2)",P3-高度敏感,4,0.0,reward.point_transaction.benefit_amount[TYPED_COLUMN]×12；reward.discipline_case.benefit_amount[TYPED_COLUMN]×11；reward.reward_case.benefit_amount[TYPED_COLUMN]×11；welfare.care_case.benefit_amount[TYPED_COLUMN]×11,不得小于0,金额按权限显示,记录新增与修改
book_value,账面价值,金额,"numeric(18,2)",P3-高度敏感,6,0.0,asset.asset_disposal.book_value[TYPED_COLUMN]×6；asset.asset_use_transaction.book_value[TYPED_COLUMN]×6；asset.stock_in.book_value[TYPED_COLUMN]×6；asset.stocktake.book_value[TYPED_COLUMN]×6；costume.damage_report.book_value[TYPED_COLUMN]×6；costume.inventory_check.book_value[TYPED_COLUMN]×6,,按权限显示,记录新增与修改
bound_node_code,绑定节点,文本,jsonb,P1-内部,126,1.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
budget_item_id,预算项目,文本,varchar(32),P1-内部,17,0.0,finance.budget_request.budget_item_id[TYPED_COLUMN]×18；finance.reconciliation_task.budget_item_id[TYPED_COLUMN]×18；finance.expense_claim.budget_item_id[TYPED_COLUMN]×17；finance.loan_request.budget_item_id[TYPED_COLUMN]×17；catering.group_meal_order.budget_item_id[TYPED_COLUMN]×6；catering.meal_card_settlement.budget_item_id[TYPED_COLUMN]×6；education.study_tour_delivery.budget_item_id[TYPED_COLUMN]×6；hr.employee_offboarding.budget_item_id[TYPED_COLUMN]×6；marketing.campaign.budget_item_id[TYPED_COLUMN]×6；planning.change_request.budget_item_id[TYPED_COLUMN]×6；planning.project.budget_item_id[TYPED_COLUMN]×6；procurement.purchase_request.budget_item_id[TYPED_COLUMN]×6；reception.reception_order.budget_item_id[TYPED_COLUMN]×6；reward.point_transaction.budget_item_id[TYPED_COLUMN]×6；ticketing.ticket_order.budget_item_id[TYPED_COLUMN]×6；ticketing.ticket_refund_change.budget_item_id[TYPED_COLUMN]×6；welfare.care_case.budget_item_id[TYPED_COLUMN]×6,,,记录新增与修改
budget_reserved_amount,预算占用金额,金额,jsonb,P1-内部,126,0.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,不得小于0,,记录新增与修改
business_date,业务发生日期,日期,date,P1-内部,126,1.0,workflow.wf_orchestration_instance.business_date[TYPED_COLUMN]×7；collaboration.meeting.business_date[TYPED_COLUMN]×3；collaboration.notice.business_date[TYPED_COLUMN]×2；devops.release.business_date[TYPED_COLUMN]×2；administration.large_event.business_date[TYPED_COLUMN]×1；administration.official_document.business_date[TYPED_COLUMN]×1；archive.archive_package.business_date[TYPED_COLUMN]×1；archive.borrow_request.business_date[TYPED_COLUMN]×1；archive.disposal_appraisal.business_date[TYPED_COLUMN]×1；asset.asset_disposal.business_date[TYPED_COLUMN]×1；asset.asset_use_transaction.business_date[TYPED_COLUMN]×1；asset.stock_in.business_date[TYPED_COLUMN]×1；asset.stocktake.business_date[TYPED_COLUMN]×1；attendance.leave_request.business_date[TYPED_COLUMN]×1；attendance.overtime_request.business_date[TYPED_COLUMN]×1；attendance.shift_change_request.business_date[TYPED_COLUMN]×1；audit.data_export_request.business_date[TYPED_COLUMN]×1；audit.data_quality_issue.business_date[TYPED_COLUMN]×1；brand.authorization.business_date[TYPED_COLUMN]×1；brand.infringement_case.business_date[TYPED_COLUMN]×1；brand.material_review.business_date[TYPED_COLUMN]×1；catering.food_safety_incident.business_date[TYPED_COLUMN]×1；catering.group_meal_order.business_date[TYPED_COLUMN]×1；catering.ingredient_acceptance.business_date[TYPED_COLUMN]×1；catering.meal_card_settlement.business_date[TYPED_COLUMN]×1；cleaning.cleaning_task.business_date[TYPED_COLUMN]×1；cleaning.event_support.business_date[TYPED_COLUMN]×1；cleaning.pollution_incident.business_date[TYPED_COLUMN]×1；collaboration.executive_directive.business_date[TYPED_COLUMN]×1；collaboration.major_matter.business_date[TYPED_COLUMN]×1；content.change_request.business_date[TYPED_COLUMN]×1；content.material_request.business_date[TYPED_COLUMN]×1；content.shooting_task.business_date[TYPED_COLUMN]×1；costume.damage_report.business_date[TYPED_COLUMN]×1；costume.inventory_check.business_date[TYPED_COLUMN]×1；costume.session_preparation.business_date[TYPED_COLUMN]×1；crm.channel_partner.business_date[TYPED_COLUMN]×1；crm.opportunity.business_date[TYPED_COLUMN]×1；devops.defect.business_date[TYPED_COLUMN]×1；devops.requirement.business_date[TYPED_COLUMN]×1；document.signature_envelope.business_date[TYPED_COLUMN]×1；dormitory.stay_record.business_date[TYPED_COLUMN]×1；drone.flight_cancellation.business_date[TYPED_COLUMN]×1；drone.flight_incident.business_date[TYPED_COLUMN]×1；drone.flight_task.business_date[TYPED_COLUMN]×1；ecommerce.ota_order.business_date[TYPED_COLUMN]×1；ecommerce.product_listing.business_date[TYPED_COLUMN]×1；ecommerce.refund_order.business_date[TYPED_COLUMN]×1；ecommerce.review_complaint.business_date[TYPED_COLUMN]×1；education.course_product.business_date[TYPED_COLUMN]×1；education.study_tour_delivery.business_date[TYPED_COLUMN]×1；education.teacher_schedule.business_date[TYPED_COLUMN]×1；entertainment.equipment_fault.business_date[TYPED_COLUMN]×1；entertainment.program.business_date[TYPED_COLUMN]×1；entertainment.show_session.business_date[TYPED_COLUMN]×1；entertainment.staff_shortage.business_date[TYPED_COLUMN]×1；entertainment.suspension_advice.business_date[TYPED_COLUMN]×1；entertainment.suspension_decision.business_date[TYPED_COLUMN]×1；entertainment.tech_support_task.business_date[TYPED_COLUMN]×1；finance.budget_request.business_date[TYPED_COLUMN]×1；finance.expense_claim.business_date[TYPED_COLUMN]×1；finance.loan_request.business_date[TYPED_COLUMN]×1；finance.reconciliation_task.business_date[TYPED_COLUMN]×1；fleet.vehicle_dispatch.business_date[TYPED_COLUMN]×1；fleet.vehicle_incident.business_date[TYPED_COLUMN]×1；hr.employee_offboarding.business_date[TYPED_COLUMN]×1；hr.employee_onboarding.business_date[TYPED_COLUMN]×1；hr.employee_profile_change.business_date[TYPED_COLUMN]×1；hr.employee_transfer.business_date[TYPED_COLUMN]×1；hr.promotion_request.business_date[TYPED_COLUMN]×1；iam.account_execution.business_date[TYPED_COLUMN]×1；iam.login_session.business_date[TYPED_COLUMN]×1；iam.permission_request.business_date[TYPED_COLUMN]×1；integration.data_import_job.business_date[TYPED_COLUMN]×1；itops.event_support.business_date[TYPED_COLUMN]×1；itops.network_change.business_date[TYPED_COLUMN]×1；itops.network_incident.business_date[TYPED_COLUMN]×1；itops.recovery_drill.business_date[TYPED_COLUMN]×1；itops.service_request.business_date[TYPED_COLUMN]×1；learning.learning_assignment.business_date[TYPED_COLUMN]×1；maintenance.repair_order.business_date[TYPED_COLUMN]×1；marketing.campaign.business_date[TYPED_COLUMN]×1；media.ad_campaign.business_date[TYPED_COLUMN]×1；media.live_session.business_date[TYPED_COLUMN]×1；media.public_opinion_case.business_date[TYPED_COLUMN]×1；media.short_video_release.business_date[TYPED_COLUMN]×1；merchant.merchant_admission.business_date[TYPED_COLUMN]×1；merchant.merchant_exit.business_date[TYPED_COLUMN]×1；merchant.merchant_inspection.business_date[TYPED_COLUMN]×1；performance.performance_cycle.business_date[TYPED_COLUMN]×1；planning.change_request.business_date[TYPED_COLUMN]×1；planning.event_handover.business_date[TYPED_COLUMN]×1；planning.project.business_date[TYPED_COLUMN]×1；procurement.emergency_purchase.business_date[TYPED_COLUMN]×1；procurement.purchase_request.business_date[TYPED_COLUMN]×1；procurement.purchase_return.business_date[TYPED_COLUMN]×1；reception.change_request.business_date[TYPED_COLUMN]×1；reception.complaint.business_date[TYPED_COLUMN]×1；reception.guide_execution.business_date[TYPED_COLUMN]×1；reception.reception_order.business_date[TYPED_COLUMN]×1；reward.discipline_case.business_date[TYPED_COLUMN]×1；reward.point_transaction.business_date[TYPED_COLUMN]×1；reward.reward_case.business_date[TYPED_COLUMN]×1；sales.customer_handover.business_date[TYPED_COLUMN]×1；sales.deal.business_date[TYPED_COLUMN]×1；sales.lead.business_date[TYPED_COLUMN]×1；sales.secondary_sale.business_date[TYPED_COLUMN]×1；security.crowd_alert.business_date[TYPED_COLUMN]×1；security.event_security_plan.business_date[TYPED_COLUMN]×1；security.patrol_task.business_date[TYPED_COLUMN]×1；security.security_incident.business_date[TYPED_COLUMN]×1；ticketing.offline_check_event.business_date[TYPED_COLUMN]×1；ticketing.ticket_order.business_date[TYPED_COLUMN]×1；ticketing.ticket_refund_change.business_date[TYPED_COLUMN]×1；welfare.care_case.business_date[TYPED_COLUMN]×1；workflow.generic_request.business_date[TYPED_COLUMN]×1,,,记录新增与修改
business_interrupted,是否中断业务,布尔,boolean,P1-内部,3,1.0,entertainment.equipment_fault.business_interrupted[TYPED_COLUMN]×11；itops.network_incident.business_interrupted[TYPED_COLUMN]×11；maintenance.repair_order.business_interrupted[TYPED_COLUMN]×11,,,记录新增与修改
business_metrics,关键业务指标,子表,jsonb,P1-内部,126,1.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
business_object_name,业务对象名称,文本,jsonb,P1-内部,126,1.0,workflow.wf_instance.context_snapshot.business_object_name[COMMON_SERVICE]×2164,,,记录新增与修改
business_object_no,业务对象编号,文本,varchar(64),P1-内部,126,0.0,workflow.wf_instance.business_object_no[COMMON_SERVICE]×2164,,,记录新增与修改
business_object_type,业务对象类型,文本,varchar(128),P1-内部,126,1.0,workflow.wf_instance.business_object_type[COMMON_SERVICE]×2164,,,记录新增与修改
business_scope_id,发生中心/区域,文本,jsonb,P1-内部,126,0.0,workflow.wf_instance.context_snapshot.business_scope_id[COMMON_SERVICE]×2164,,,记录新增与修改
business_stage,当前业务节点,文本,varchar(32),P1-内部,126,1.0,workflow.wf_instance.current_node_code[COMMON_SERVICE]×2164,,,记录新增与修改
business_type,业务类型,枚举,varchar(128),P1-内部,126,1.0,workflow.wf_instance.business_object_type[COMMON_SERVICE]×126,,,记录新增与修改
calculation_rules,联动计算规则,JSON,jsonb,P1-内部,126,0.0,workflow.wf_rule.rule_expr.calculation_rules[COMMON_SERVICE]×126,,,记录新增与修改
calendar_rule_id,工作日历/节假日规则,文本,jsonb,P1-内部,126,0.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
campaign_budget,预算金额,金额,"numeric(18,2)",P1-内部,4,0.0,administration.large_event.campaign_budget[TYPED_COLUMN]×12；itops.event_support.campaign_budget[TYPED_COLUMN]×11；marketing.campaign.campaign_budget[TYPED_COLUMN]×11；planning.event_handover.campaign_budget[TYPED_COLUMN]×11,,,记录新增与修改
campaign_end_at,结束时间,日期时间,timestamptz,P1-内部,4,1.0,administration.large_event.campaign_end_at[TYPED_COLUMN]×12；itops.event_support.campaign_end_at[TYPED_COLUMN]×11；marketing.campaign.campaign_end_at[TYPED_COLUMN]×11；planning.event_handover.campaign_end_at[TYPED_COLUMN]×11,,,记录新增与修改
campaign_goal,活动目标,长文本,text,P1-内部,5,1.0,administration.large_event.campaign_goal[TYPED_COLUMN]×12；itops.event_support.campaign_goal[TYPED_COLUMN]×11；marketing.campaign.campaign_goal[TYPED_COLUMN]×11；planning.event_handover.campaign_goal[TYPED_COLUMN]×11；cleaning.event_support.campaign_goal[TYPED_COLUMN]×6,,,记录新增与修改
campaign_location_channel,活动地点/渠道,文本,varchar(500),P1-内部,4,0.0,administration.large_event.campaign_location_channel[TYPED_COLUMN]×12；itops.event_support.campaign_location_channel[TYPED_COLUMN]×11；marketing.campaign.campaign_location_channel[TYPED_COLUMN]×11；planning.event_handover.campaign_location_channel[TYPED_COLUMN]×11,,,记录新增与修改
campaign_name,活动名称,文本,varchar(200),P1-内部,6,1.0,administration.large_event.campaign_name[TYPED_COLUMN]×18；itops.event_support.campaign_name[TYPED_COLUMN]×17；marketing.campaign.campaign_name[TYPED_COLUMN]×17；planning.event_handover.campaign_name[TYPED_COLUMN]×17；cleaning.event_support.campaign_name[TYPED_COLUMN]×6；media.ad_campaign.campaign_name[TYPED_COLUMN]×6,,,记录新增与修改
campaign_no,活动/项目编号,文本,varchar(32),P1-内部,6,1.0,administration.large_event.campaign_no[TYPED_COLUMN]×18；itops.event_support.campaign_no[TYPED_COLUMN]×17；marketing.campaign.campaign_no[TYPED_COLUMN]×17；planning.event_handover.campaign_no[TYPED_COLUMN]×17；cleaning.event_support.campaign_no[TYPED_COLUMN]×6；media.ad_campaign.campaign_no[TYPED_COLUMN]×6,,,记录新增与修改
campaign_start_at,开始时间,日期时间,timestamptz,P1-内部,4,1.0,administration.large_event.campaign_start_at[TYPED_COLUMN]×12；itops.event_support.campaign_start_at[TYPED_COLUMN]×11；marketing.campaign.campaign_start_at[TYPED_COLUMN]×11；planning.event_handover.campaign_start_at[TYPED_COLUMN]×11,,,记录新增与修改
carrier_type,载体类型,枚举,varchar(64),P1-内部,3,1.0,archive.archive_package.carrier_type[TYPED_COLUMN]×11；archive.borrow_request.carrier_type[TYPED_COLUMN]×11；archive.disposal_appraisal.carrier_type[TYPED_COLUMN]×11,,,记录新增与修改
case_description,异常描述,长文本,jsonb,P1-内部,126,1.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,不少于20字,,记录新增与修改
case_evidence,证据材料,文件集合,varchar(128),P2-个人,126,0.0,document.attachment_link.field_code[ATTACHMENT_LINK]×126,,,记录新增与修改
case_type,异常/申诉类型,枚举,jsonb,P1-内部,126,1.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
cc_roles,抄送角色,角色集合,jsonb,P1-内部,126,0.0,workflow.wf_node.actor_rule.cc_roles[COMMON_SERVICE]×126,,,记录新增与修改
center_id,所属中心,文本,jsonb,P1-内部,126,1.0,workflow.wf_instance.context_snapshot.center_id[COMMON_SERVICE]×2164,在数据权限范围内,,记录新增与修改
change_action,操作类型,枚举,varchar(64),P1-内部,22,1.0,devops.release.change_action[TYPED_COLUMN]×2；administration.large_event.change_action[TYPED_COLUMN]×1；asset.stocktake.change_action[TYPED_COLUMN]×1；attendance.leave_request.change_action[TYPED_COLUMN]×1；attendance.shift_change_request.change_action[TYPED_COLUMN]×1；catering.meal_card_settlement.change_action[TYPED_COLUMN]×1；content.change_request.change_action[TYPED_COLUMN]×1；education.teacher_schedule.change_action[TYPED_COLUMN]×1；entertainment.show_session.change_action[TYPED_COLUMN]×1；entertainment.staff_shortage.change_action[TYPED_COLUMN]×1；entertainment.suspension_decision.change_action[TYPED_COLUMN]×1；finance.budget_request.change_action[TYPED_COLUMN]×1；finance.reconciliation_task.change_action[TYPED_COLUMN]×1；hr.employee_profile_change.change_action[TYPED_COLUMN]×1；itops.network_change.change_action[TYPED_COLUMN]×1；media.ad_campaign.change_action[TYPED_COLUMN]×1；planning.change_request.change_action[TYPED_COLUMN]×1；procurement.purchase_return.change_action[TYPED_COLUMN]×1；reception.change_request.change_action[TYPED_COLUMN]×1；reward.point_transaction.change_action[TYPED_COLUMN]×1；ticketing.ticket_refund_change.change_action[TYPED_COLUMN]×1,,,记录新增与修改
change_attachments,变更附件,文件集合,varchar(128),P1-内部,22,0.0,document.attachment_link.field_code[ATTACHMENT_LINK]×22,,,记录新增与修改
change_reason,变更原因,长文本,text,P1-内部,22,1.0,devops.release.change_reason[TYPED_COLUMN]×2；administration.large_event.change_reason[TYPED_COLUMN]×1；asset.stocktake.change_reason[TYPED_COLUMN]×1；attendance.leave_request.change_reason[TYPED_COLUMN]×1；attendance.shift_change_request.change_reason[TYPED_COLUMN]×1；catering.meal_card_settlement.change_reason[TYPED_COLUMN]×1；content.change_request.change_reason[TYPED_COLUMN]×1；education.teacher_schedule.change_reason[TYPED_COLUMN]×1；entertainment.show_session.change_reason[TYPED_COLUMN]×1；entertainment.staff_shortage.change_reason[TYPED_COLUMN]×1；entertainment.suspension_decision.change_reason[TYPED_COLUMN]×1；finance.budget_request.change_reason[TYPED_COLUMN]×1；finance.reconciliation_task.change_reason[TYPED_COLUMN]×1；hr.employee_profile_change.change_reason[TYPED_COLUMN]×1；itops.network_change.change_reason[TYPED_COLUMN]×1；media.ad_campaign.change_reason[TYPED_COLUMN]×1；planning.change_request.change_reason[TYPED_COLUMN]×1；procurement.purchase_return.change_reason[TYPED_COLUMN]×1；reception.change_request.change_reason[TYPED_COLUMN]×1；reward.point_transaction.change_reason[TYPED_COLUMN]×1；ticketing.ticket_refund_change.change_reason[TYPED_COLUMN]×1,,,记录新增与修改
child_orders_tasks,子任务/子单清单,子表,jsonb,P1-内部,7,1.0,workflow.wf_orchestration_instance_item.item_value_json[CHILD_ITEM]×77,,,记录新增与修改
class_location,上课地点,文本,varchar(200),P1-内部,3,0.0,education.teacher_schedule.class_location[TYPED_COLUMN]×12；education.course_product.class_location[TYPED_COLUMN]×11；education.study_tour_delivery.class_location[TYPED_COLUMN]×11,,,记录新增与修改
class_time,上课时间,日期时间,timestamptz,P1-内部,3,0.0,education.teacher_schedule.class_time[TYPED_COLUMN]×12；education.course_product.class_time[TYPED_COLUMN]×11；education.study_tour_delivery.class_time[TYPED_COLUMN]×11,,,记录新增与修改
cleaning_area_id,作业区域,文本,varchar(64),P1-内部,3,1.0,cleaning.cleaning_task.cleaning_area_id[TYPED_COLUMN]×17；cleaning.event_support.cleaning_area_id[TYPED_COLUMN]×17；cleaning.pollution_incident.cleaning_area_id[TYPED_COLUMN]×17,,,记录新增与修改
cleaning_standard_version,作业标准版本,文本,varchar(32),P1-内部,3,1.0,cleaning.cleaning_task.cleaning_standard_version[TYPED_COLUMN]×11；cleaning.event_support.cleaning_standard_version[TYPED_COLUMN]×11；cleaning.pollution_incident.cleaning_standard_version[TYPED_COLUMN]×11,,,记录新增与修改
cleaning_time,计划/实际作业时间,日期时间,timestamptz,P1-内部,3,1.0,cleaning.cleaning_task.cleaning_time[TYPED_COLUMN]×11；cleaning.event_support.cleaning_time[TYPED_COLUMN]×11；cleaning.pollution_incident.cleaning_time[TYPED_COLUMN]×11,,,记录新增与修改
cleaning_type,作业类型,枚举,varchar(64),P1-内部,3,1.0,cleaning.cleaning_task.cleaning_type[TYPED_COLUMN]×17；cleaning.event_support.cleaning_type[TYPED_COLUMN]×17；cleaning.pollution_incident.cleaning_type[TYPED_COLUMN]×17,,,记录新增与修改
client_validation_rules,前端校验规则,JSON,jsonb,P1-内部,126,0.0,workflow.wf_form_definition.validation_schema.client[COMMON_SERVICE]×126,,,记录新增与修改
closed_at,关闭时间,日期时间,timestamptz,P1-内部,126,0.0,workflow.wf_instance.finished_at[COMMON_SERVICE]×126,,,记录新增与修改
closure_note,关闭说明,长文本,jsonb,P1-内部,126,0.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
closure_result,关闭结论,枚举,jsonb,P1-内部,126,1.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
collaborators,协同中心/人员,人员集合,varchar(64),P1-内部,126,0.0,workflow.wf_business_relation.relation_type[RELATION_LINK]×126,,,记录新增与修改
communication_log,沟通纪要,子表,jsonb,P1-内部,126,0.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
comp_grade_impact,薪酬/等级影响,长文本,text,P3-高度敏感,4,0.0,reward.point_transaction.comp_grade_impact[TYPED_COLUMN]×12；reward.discipline_case.comp_grade_impact[TYPED_COLUMN]×11；reward.reward_case.comp_grade_impact[TYPED_COLUMN]×11；welfare.care_case.comp_grade_impact[TYPED_COLUMN]×11,,非授权不可见,记录新增与修改
compatibility_policy,历史版本兼容策略,JSON,jsonb,P1-内部,126,1.0,integration.endpoint.circuit_policy.compatibility_policy[COMMON_SERVICE]×126,,,记录新增与修改
compensation_actions,补偿事务配置,JSON,jsonb,P1-内部,126,0.0,integration.endpoint.retry_policy.compensation_actions[COMMON_SERVICE]×126,,,记录新增与修改
completed_quantity,完成数量,数值,jsonb,P1-内部,126,0.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,不得小于0,,记录新增与修改
completion_rate,完成进度,百分比,"numeric(9,6)",P1-内部,2,0.0,learning.learning_assignment.completion_rate[TYPED_COLUMN]×11；performance.performance_cycle.completion_rate[TYPED_COLUMN]×11,0-100,,记录新增与修改
compliance_result,合规性结论,枚举,jsonb,P1-内部,126,1.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
confidentiality_level,密级,枚举,varchar(64),P1-内部,3,1.0,archive.archive_package.confidentiality_level[TYPED_COLUMN]×11；archive.borrow_request.confidentiality_level[TYPED_COLUMN]×11；archive.disposal_appraisal.confidentiality_level[TYPED_COLUMN]×11,,,记录新增与修改
configuration_item_id,配置项/资产编号,文本,jsonb,P1-内部,11,0.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×124,,,记录新增与修改
confirmation_note,确认意见,长文本,jsonb,P1-内部,126,0.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,有异议时必填,,记录新增与修改
confirmed_at,确认时间,日期时间,jsonb,P1-内部,126,1.0,workflow.wf_submission_value.value_json[DYNAMIC_CONFIG]×126,,,记录新增与修改
consistency_rules,一致性校验规则,JSON,jsonb,P1-内部,126,1.0,workflow.wf_rule.rule_expr.consistency_rules[COMMON_SERVICE]×126,,,记录新增与修改
consumables_used,耗材使用,子表,jsonb,P1-内部,3,0.0,cleaning.cleaning_task_item.item_value_json[CHILD_ITEM]×11；cleaning.event_support_item.item_value_json[CHILD_ITEM]×11；cleaning.pollution_incident_item.item_value_json[CHILD_ITEM]×11,,,记录新增与修改
contact_name,联系人,文本,varchar(100),P2-个人,8,0.0,crm.channel_partner.contact_name[TYPED_COLUMN]×11；crm.opportunity.contact_name[TYPED_COLUMN]×11；sales.customer_handover.contact_name[TYPED_COLUMN]×11；sales.deal.contact_name[TYPED_COLUMN]×11；sales.lead.contact_name[TYPED_COLUMN]×11；sales.secondary_sale.contact_name[TYPED_COLUMN]×11；reward.discipline_case.contact_name[TYPED_COLUMN]×6；workflow.wf_orchestration_instance.contact_name[TYPED_COLUMN]×6,,姓名按权限,记录新增与修改
