数据库,Schema,表名,表中文名,表类型,说明,关联流程,分区策略,保留策略,写入来源,不可变,字段数
sjg_oms,mdm,supplier,供应商主数据,主数据表,供应商主数据,,不分区,按法规与制度,业务服务,否,14
sjg_oms,media,ad_campaign,新媒体投放主表,主表,承载投放的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P107,不分区,按法规与制度,业务服务,否,41
sjg_oms,media,ad_campaign_item,新媒体投放明细项,子表,按field_code承载：after_snapshot、before_snapshot、media_metrics、publish_channels,P107,不分区,与主表一致,业务服务,否,21
sjg_oms,media,live_session,直播场次主表,主表,承载直播执行的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P106,不分区,按法规与制度,业务服务,否,37
sjg_oms,media,live_session_item,直播场次明细项,子表,按field_code承载：media_metrics、publish_channels,P106,不分区,与主表一致,业务服务,否,21
sjg_oms,media,public_opinion_case,舆情事项主表,主表,承载舆情的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P108,不分区,按法规与制度,业务服务,否,37
sjg_oms,media,public_opinion_case_item,舆情事项明细项,子表,按field_code承载：media_metrics、publish_channels,P108,不分区,与主表一致,业务服务,否,21
sjg_oms,media,short_video_release,短视频发布主表,主表,承载短视频发布的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P105,不分区,按法规与制度,业务服务,否,35
sjg_oms,media,short_video_release_item,短视频发布明细项,子表,按field_code承载：media_metrics、publish_channels,P105,不分区,与主表一致,业务服务,否,21
sjg_oms,merchant,merchant_admission,商户准入主表,主表,承载商户准入的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P069,不分区,按法规与制度,业务服务,否,36
sjg_oms,merchant,merchant_admission_item,商户准入明细项,子表,按field_code承载：inspection_issues,P069,不分区,与主表一致,业务服务,否,21
sjg_oms,merchant,merchant_exit,商户退场主表,主表,承载退场的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P071,不分区,按法规与制度,业务服务,否,36
sjg_oms,merchant,merchant_exit_item,商户退场明细项,子表,按field_code承载：inspection_issues,P071,不分区,与主表一致,业务服务,否,21
sjg_oms,merchant,merchant_inspection,商户巡检主表,主表,承载日常巡检的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P070,不分区,按法规与制度,业务服务,否,35
sjg_oms,merchant,merchant_inspection_item,商户巡检明细项,子表,按field_code承载：inspection_issues,P070,不分区,与主表一致,业务服务,否,21
sjg_oms,notification,message,消息主表,主表,消息主表,,不分区,按法规与制度,业务服务,否,18
sjg_oms,notification,template,消息模板表,配置表,消息模板表,,不分区,按法规与制度,业务服务,否,14
sjg_oms,org,employee,员工主表,主数据表,员工主表,,不分区,按法规与制度,业务服务,否,18
sjg_oms,org,employee_position,员工任职表,关系表,员工任职表,,不分区,按法规与制度,业务服务,否,15
sjg_oms,org,organization,组织机构表,主数据表,组织机构表,,不分区,按法规与制度,业务服务,否,15
sjg_oms,org,position,岗位表,主数据表,岗位表,,不分区,按法规与制度,业务服务,否,13
sjg_oms,performance,performance_cycle,绩效周期主表,主表,承载绩效管理的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P011,不分区,按法规与制度,业务服务,否,38
sjg_oms,planning,change_request,策划方案变更主表,主表,承载方案变更的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P099,不分区,按法规与制度,业务服务,否,41
sjg_oms,planning,change_request_item,策划方案变更明细项,子表,按field_code承载：after_snapshot、before_snapshot、media_metrics、publish_channels,P099,不分区,与主表一致,业务服务,否,21
sjg_oms,planning,event_handover,活动策划移交主表,主表,承载活动策划移交的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P100,不分区,按法规与制度,业务服务,否,39
sjg_oms,planning,event_handover_item,活动策划移交明细项,子表,按field_code承载：actual_metrics,P100,不分区,与主表一致,业务服务,否,21
sjg_oms,planning,project,策划项目主表,主表,承载策划项目的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P098,不分区,按法规与制度,业务服务,否,37
sjg_oms,planning,project_item,策划项目明细项,子表,按field_code承载：media_metrics、publish_channels,P098,不分区,与主表一致,业务服务,否,21
sjg_oms,procurement,emergency_purchase,紧急采购主表,主表,承载紧急采购的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P035,不分区,按法规与制度,业务服务,否,35
sjg_oms,procurement,emergency_purchase_item,紧急采购明细项,子表,按field_code承载：purchase_items、quotation_items,P035,不分区,与主表一致,业务服务,否,21
sjg_oms,procurement,purchase_request,采购申请主表,主表,承载标准采购的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P034,不分区,按法规与制度,业务服务,否,38
sjg_oms,procurement,purchase_request_item,采购申请明细项,子表,按field_code承载：purchase_items、quotation_items,P034,不分区,与主表一致,业务服务,否,21
sjg_oms,procurement,purchase_return,采购退换货主表,主表,承载退换货的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P036,不分区,按法规与制度,业务服务,否,41
sjg_oms,procurement,purchase_return_item,采购退换货明细项,子表,按field_code承载：after_snapshot、before_snapshot、purchase_items、quotation_items,P036,不分区,与主表一致,业务服务,否,21
sjg_oms,reception,change_request,接待变更主表,主表,承载临时变更的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P113,不分区,按法规与制度,业务服务,否,41
sjg_oms,reception,change_request_item,接待变更明细项,子表,按field_code承载：after_snapshot、before_snapshot、resource_child_orders,P113,不分区,与主表一致,业务服务,否,21
sjg_oms,reception,complaint,接待客诉主表,主表,承载接待客诉的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P115,不分区,按法规与制度,业务服务,否,38
sjg_oms,reception,guide_execution,导游执行主表,主表,承载导游执行的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P114,不分区,按法规与制度,业务服务,否,39
sjg_oms,reception,guide_execution_item,导游执行明细项,子表,按field_code承载：resource_child_orders,P114,不分区,与主表一致,业务服务,否,21
sjg_oms,reception,reception_order,接待订单主表,主表,承载标准接待的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P112,不分区,按法规与制度,业务服务,否,39
sjg_oms,reception,reception_order_item,接待订单明细项,子表,按field_code承载：resource_child_orders,P112,不分区,与主表一致,业务服务,否,21
sjg_oms,reward,discipline_case,纪律责任主表,主表,承载纪律、责任与申诉的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P014,不分区,按法规与制度,业务服务,否,39
sjg_oms,reward,point_transaction,积分流水主表,主表,承载成长积分与荣誉积分的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P015,不分区,按法规与制度,业务服务,否,43
sjg_oms,reward,point_transaction_item,积分流水明细项,子表,按field_code承载：after_snapshot、before_snapshot,P015,不分区,与主表一致,业务服务,否,21
sjg_oms,reward,reward_case,奖励事项主表,主表,承载奖励的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P013,不分区,按法规与制度,业务服务,否,36
sjg_oms,sales,customer_handover,客户移交主表,主表,承载客户移交的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P119,不分区,按法规与制度,业务服务,否,39
sjg_oms,sales,customer_handover_item,客户移交明细项,子表,按field_code承载：contract_order_no,P119,不分区,与主表一致,业务服务,否,21
sjg_oms,sales,deal,销售成交主表,主表,承载销售成交的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P117,不分区,按法规与制度,业务服务,否,38
sjg_oms,sales,deal_item,销售成交明细项,子表,按field_code承载：contract_order_no,P117,不分区,与主表一致,业务服务,否,21
sjg_oms,sales,lead,销售线索主表,主表,承载线索转商机的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P116,不分区,按法规与制度,业务服务,否,38
sjg_oms,sales,lead_item,销售线索明细项,子表,按field_code承载：contract_order_no,P116,不分区,与主表一致,业务服务,否,21
sjg_oms,sales,secondary_sale,二次销售主表,主表,承载二次销售的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P118,不分区,按法规与制度,业务服务,否,39
sjg_oms,sales,secondary_sale_item,二次销售明细项,子表,按field_code承载：contract_order_no,P118,不分区,与主表一致,业务服务,否,21
sjg_oms,security,crowd_alert,客流预警主表,主表,承载客流预警的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P063,不分区,按法规与制度,业务服务,否,36
sjg_oms,security,event_security_plan,活动安保方案主表,主表,承载活动安保的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P065,不分区,按法规与制度,业务服务,否,36
sjg_oms,security,patrol_task,巡逻任务主表,主表,承载日常巡逻的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P062,不分区,按法规与制度,业务服务,否,38
sjg_oms,security,security_incident,安全事件主表,主表,承载安全事件的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P064,不分区,按法规与制度,业务服务,否,36
sjg_oms,ticketing,offline_check_event,离线检票事件主表,主表,承载离线检票的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P039,不分区,按法规与制度,业务服务,否,39
sjg_oms,ticketing,offline_check_event_item,离线检票事件明细项,子表,按field_code承载：ticket_codes,P039,不分区,与主表一致,业务服务,否,21
sjg_oms,ticketing,ticket_order,票务订单主表,主表,承载售检票闭环的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P037,不分区,按法规与制度,业务服务,否,39
sjg_oms,ticketing,ticket_order_item,票务订单明细项,子表,按field_code承载：ticket_codes,P037,不分区,与主表一致,业务服务,否,21
sjg_oms,ticketing,ticket_refund_change,退款改签主表,主表,承载退款改签的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P038,不分区,按法规与制度,业务服务,否,43
sjg_oms,ticketing,ticket_refund_change_item,退款改签明细项,子表,按field_code承载：after_snapshot、before_snapshot、ticket_codes,P038,不分区,与主表一致,业务服务,否,21
sjg_oms,welfare,care_case,福利关怀主表,主表,承载员工福利与关怀的稳定业务事实；流程动作、动态字段和附件分别落公共子表,P016,不分区,按法规与制度,业务服务,否,39
sjg_oms,workflow,generic_request,通用申请主表,主表,通用申请主表,P004,不分区,按法规与制度,业务服务,否,21
sjg_oms,workflow,wf_action_log,流程动作日志,日志表,流程动作日志,,按occurred_at月分区,至少10年,业务服务,是,19
sjg_oms,workflow,wf_business_relation,业务关联表,关系表,业务关联表,,不分区,按法规与制度,业务服务,否,15
sjg_oms,workflow,wf_definition,流程定义表,配置表,流程定义表,,不分区,按法规与制度,业务服务,否,14
sjg_oms,workflow,wf_form_definition,表单定义表,配置表,表单定义表,,不分区,按法规与制度,业务服务,否,19
sjg_oms,workflow,wf_instance,流程实例表,主表,流程实例表,,按started_at月分区,在线3年，归档10年,业务服务,否,24
sjg_oms,workflow,wf_node,流程节点表,配置表,流程节点表,,不分区,按法规与制度,业务服务,否,15
sjg_oms,workflow,wf_orchestration_instance,跨中心编排实例表,主表,跨中心编排实例表,"P120,P121,P122,P123,P124,P125,P126",不分区,按法规与制度,业务服务,否,47
sjg_oms,workflow,wf_orchestration_instance_item,员工生命周期编排明细项,子表,按field_code承载：child_orders_tasks、critical_dependencies、cross_center_escalations,"P120,P121,P122,P123,P124,P125,P126",不分区,与主表一致,业务服务,否,21
sjg_oms,workflow,wf_orchestration_link,编排子单关联表,子表,编排子单关联表,,不分区,按法规与制度,业务服务,否,15
sjg_oms,workflow,wf_rule,业务规则表,配置表,业务规则表,,不分区,按法规与制度,业务服务,否,16
sjg_oms,workflow,wf_sla_policy,流程SLA策略表,配置表,流程SLA策略表,,不分区,按法规与制度,业务服务,否,15
sjg_oms,workflow,wf_submission,表单提交主表,主表,表单提交主表,,按submitted_at月分区,至少10年,业务服务,否,17
sjg_oms,workflow,wf_submission_value,表单动态字段值表,子表,表单动态字段值表,,按created_at月分区,与业务主表一致,业务服务,否,19
sjg_oms,workflow,wf_task,流程任务表,子表,流程任务表,,按received_at月分区,在线3年，归档10年,业务服务,否,20
sjg_oms,workflow,wf_transition,状态迁移表,配置表,状态迁移表,,不分区,按法规与制度,业务服务,否,14
sjg_oms,workflow,wf_version,流程版本表,配置表,流程版本表,,不分区,按法规与制度,业务服务,否,14
