process_code,process_name,business_section,module,source_folder,database,schema,master_table,detail_table,workflow_tables,attachment_table,audit_database,analytics_subject,mapping_rule
P085,网络故障,网络中心,网络技术部业务模块,08_网络中心,sjg_oms,itops,itops.network_incident,itops.network_incident_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,IT运维,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P086,网络变更,网络中心,网络技术部业务模块,08_网络中心,sjg_oms,itops,itops.network_change,itops.network_change_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,IT运维,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P087,活动保障,网络中心,网络技术部业务模块,08_网络中心,sjg_oms,itops,itops.event_support,itops.event_support_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,IT运维,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P088,IT服务请求,网络中心,系统维护部业务模块,08_网络中心,sjg_oms,itops,itops.service_request,itops.service_request_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,IT运维,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P089,生产发布,网络中心,系统维护部业务模块,08_网络中心,sjg_oms,devops,devops.release,devops.release_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,研发发布,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P090,账号执行,网络中心,系统维护部业务模块,08_网络中心,sjg_oms,iam,iam.account_execution,iam.account_execution_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,身份权限,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P091,恢复演练,网络中心,系统维护部业务模块,08_网络中心,sjg_oms,itops,itops.recovery_drill,itops.recovery_drill_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,IT运维,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P092,需求开发,网络中心,研发部业务模块,08_网络中心,sjg_oms,devops,devops.requirement,devops.requirement_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,研发发布,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P093,缺陷修复,网络中心,研发部业务模块,08_网络中心,sjg_oms,devops,devops.defect,devops.defect_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,研发发布,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P094,版本发布,网络中心,研发部业务模块,08_网络中心,sjg_oms,devops,devops.release,devops.release_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,研发发布,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P095,宣传物料制作,企划中心,企宣部业务模块,09_企划中心,sjg_oms,content,content.material_request,content.material_request_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,企宣内容,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P096,拍摄任务,企划中心,企宣部业务模块,09_企划中心,sjg_oms,content,content.shooting_task,content.shooting_task_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,企宣内容,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P097,返工变更,企划中心,企宣部业务模块,09_企划中心,sjg_oms,content,content.change_request,content.change_request_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,企宣内容,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P098,策划项目,企划中心,策划部业务模块,09_企划中心,sjg_oms,planning,planning.project,planning.project_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,策划项目,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P099,方案变更,企划中心,策划部业务模块,09_企划中心,sjg_oms,planning,planning.change_request,planning.change_request_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,策划项目,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P100,活动策划移交,企划中心,策划部业务模块,09_企划中心,sjg_oms,planning,planning.event_handover,planning.event_handover_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,策划项目,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P101,产品上架,新媒体中心,OTA部业务模块,10_新媒体中心,sjg_oms,ecommerce,ecommerce.product_listing,ecommerce.product_listing_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,OTA电商,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P102,OTA订单,新媒体中心,OTA部业务模块,10_新媒体中心,sjg_oms,ecommerce,ecommerce.ota_order,ecommerce.ota_order_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,OTA电商,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P103,退款,新媒体中心,OTA部业务模块,10_新媒体中心,sjg_oms,ecommerce,ecommerce.refund_order,ecommerce.refund_order_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,OTA电商,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P104,评价客诉,新媒体中心,OTA部业务模块,10_新媒体中心,sjg_oms,ecommerce,ecommerce.review_complaint,ecommerce.review_complaint_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,OTA电商,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P105,短视频发布,新媒体中心,抖音部业务模块,10_新媒体中心,sjg_oms,media,media.short_video_release,media.short_video_release_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,新媒体,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P106,直播执行,新媒体中心,抖音部业务模块,10_新媒体中心,sjg_oms,media,media.live_session,media.live_session_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,新媒体,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P107,投放,新媒体中心,抖音部业务模块,10_新媒体中心,sjg_oms,media,media.ad_campaign,media.ad_campaign_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,新媒体,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P108,舆情,新媒体中心,抖音部业务模块,10_新媒体中心,sjg_oms,media,media.public_opinion_case,media.public_opinion_case_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,新媒体,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P109,品牌授权,新媒体中心,品牌部业务模块,10_新媒体中心,sjg_oms,brand,brand.authorization,brand.authorization_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,品牌管理,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P110,物料审核,新媒体中心,品牌部业务模块,10_新媒体中心,sjg_oms,brand,brand.material_review,brand.material_review_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,品牌管理,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P111,侵权处理,新媒体中心,品牌部业务模块,10_新媒体中心,sjg_oms,brand,brand.infringement_case,brand.infringement_case_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,品牌管理,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P112,标准接待,运营中心,接待部业务模块,11_运营中心,sjg_oms,reception,reception.reception_order,reception.reception_order_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,接待运营,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P113,临时变更,运营中心,接待部业务模块,11_运营中心,sjg_oms,reception,reception.change_request,reception.change_request_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,接待运营,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P114,导游执行,运营中心,接待部业务模块,11_运营中心,sjg_oms,reception,reception.guide_execution,reception.guide_execution_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,接待运营,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P115,接待客诉,运营中心,接待部业务模块,11_运营中心,sjg_oms,reception,reception.complaint,,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,接待运营,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P116,线索转商机,运营中心,营销部业务模块,11_运营中心,sjg_oms,sales,sales.lead,sales.lead_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,销售运营,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P117,销售成交,运营中心,营销部业务模块,11_运营中心,sjg_oms,sales,sales.deal,sales.deal_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,销售运营,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P118,二次销售,运营中心,营销部业务模块,11_运营中心,sjg_oms,sales,sales.secondary_sale,sales.secondary_sale_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,销售运营,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P119,客户移交,运营中心,营销部业务模块,11_运营中心,sjg_oms,sales,sales.customer_handover,sales.customer_handover_item,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,销售运营,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P120,全员生命周期闭环,跨中心协同,黄金路径,12_跨中心协同,sjg_oms,workflow,workflow.wf_orchestration_instance,workflow.wf_orchestration_link,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,流程内核,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P121,市场获客到交付回款闭环,跨中心协同,黄金路径,12_跨中心协同,sjg_oms,workflow,workflow.wf_orchestration_instance,workflow.wf_orchestration_link,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,流程内核,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P122,接待资源闭环,跨中心协同,黄金路径,12_跨中心协同,sjg_oms,workflow,workflow.wf_orchestration_instance,workflow.wf_orchestration_link,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,流程内核,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P123,演艺场次闭环,跨中心协同,黄金路径,12_跨中心协同,sjg_oms,workflow,workflow.wf_orchestration_instance,workflow.wf_orchestration_link,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,流程内核,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P124,采购资产财务闭环,跨中心协同,黄金路径,12_跨中心协同,sjg_oms,workflow,workflow.wf_orchestration_instance,workflow.wf_orchestration_link,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,流程内核,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P125,内容生产发布闭环,跨中心协同,黄金路径,12_跨中心协同,sjg_oms,workflow,workflow.wf_orchestration_instance,workflow.wf_orchestration_link,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,流程内核,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
P126,事件与整改闭环,跨中心协同,黄金路径,12_跨中心协同,sjg_oms,workflow,workflow.wf_orchestration_instance,workflow.wf_orchestration_link,workflow.wf_instance / wf_task / wf_action_log / wf_submission,document.attachment_link,sjg_audit,流程内核,稳定标量落领域主表；重复项落明细表；人员/组织关联落relation；附件落attachment_link；配置/低频动态值落wf_submission_value
