source_table,source_column,target_table,target_column,relation_type,on_delete,note
collaboration.notice,owner_employee_id,org.employee,id,N:1,RESTRICT,字段级外键
collaboration.notice_item,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
collaboration.notice_item,created_by,org.employee,id,N:1,RESTRICT,字段级外键
collaboration.notice_item,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
collaboration.meeting,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
collaboration.meeting,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
collaboration.meeting,created_by,org.employee,id,N:1,RESTRICT,字段级外键
collaboration.meeting,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
collaboration.meeting,owner_center_id,org.organization,id,N:1,RESTRICT,字段级外键
collaboration.meeting,owner_department_id,org.organization,id,N:1,RESTRICT,字段级外键
collaboration.meeting,owner_employee_id,org.employee,id,N:1,RESTRICT,字段级外键
collaboration.meeting_item,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
collaboration.meeting_item,created_by,org.employee,id,N:1,RESTRICT,字段级外键
collaboration.meeting_item,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
attendance.shift_change_request,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
attendance.shift_change_request,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
attendance.shift_change_request,created_by,org.employee,id,N:1,RESTRICT,字段级外键
attendance.shift_change_request,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
attendance.shift_change_request,owner_center_id,org.organization,id,N:1,RESTRICT,字段级外键
attendance.shift_change_request,owner_department_id,org.organization,id,N:1,RESTRICT,字段级外键
attendance.shift_change_request,owner_employee_id,org.employee,id,N:1,RESTRICT,字段级外键
attendance.shift_change_request_item,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
attendance.shift_change_request_item,created_by,org.employee,id,N:1,RESTRICT,字段级外键
attendance.shift_change_request_item,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
attendance.leave_request,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
attendance.leave_request,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
attendance.leave_request,created_by,org.employee,id,N:1,RESTRICT,字段级外键
attendance.leave_request,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
attendance.leave_request,owner_center_id,org.organization,id,N:1,RESTRICT,字段级外键
attendance.leave_request,owner_department_id,org.organization,id,N:1,RESTRICT,字段级外键
attendance.leave_request,owner_employee_id,org.employee,id,N:1,RESTRICT,字段级外键
attendance.leave_request_item,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
attendance.leave_request_item,created_by,org.employee,id,N:1,RESTRICT,字段级外键
attendance.leave_request_item,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
attendance.overtime_request,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
attendance.overtime_request,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
attendance.overtime_request,created_by,org.employee,id,N:1,RESTRICT,字段级外键
attendance.overtime_request,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
attendance.overtime_request,owner_center_id,org.organization,id,N:1,RESTRICT,字段级外键
attendance.overtime_request,owner_department_id,org.organization,id,N:1,RESTRICT,字段级外键
attendance.overtime_request,owner_employee_id,org.employee,id,N:1,RESTRICT,字段级外键
attendance.overtime_request_item,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
attendance.overtime_request_item,created_by,org.employee,id,N:1,RESTRICT,字段级外键
attendance.overtime_request_item,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
learning.learning_assignment,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
learning.learning_assignment,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
learning.learning_assignment,created_by,org.employee,id,N:1,RESTRICT,字段级外键
learning.learning_assignment,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
learning.learning_assignment,owner_center_id,org.organization,id,N:1,RESTRICT,字段级外键
learning.learning_assignment,owner_department_id,org.organization,id,N:1,RESTRICT,字段级外键
learning.learning_assignment,owner_employee_id,org.employee,id,N:1,RESTRICT,字段级外键
performance.performance_cycle,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
performance.performance_cycle,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
performance.performance_cycle,created_by,org.employee,id,N:1,RESTRICT,字段级外键
performance.performance_cycle,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
performance.performance_cycle,owner_center_id,org.organization,id,N:1,RESTRICT,字段级外键
performance.performance_cycle,owner_department_id,org.organization,id,N:1,RESTRICT,字段级外键
performance.performance_cycle,owner_employee_id,org.employee,id,N:1,RESTRICT,字段级外键
hr.promotion_request,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
hr.promotion_request,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
hr.promotion_request,created_by,org.employee,id,N:1,RESTRICT,字段级外键
hr.promotion_request,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
hr.promotion_request,owner_center_id,org.organization,id,N:1,RESTRICT,字段级外键
hr.promotion_request,owner_department_id,org.organization,id,N:1,RESTRICT,字段级外键
hr.promotion_request,owner_employee_id,org.employee,id,N:1,RESTRICT,字段级外键
hr.promotion_request_item,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
hr.promotion_request_item,created_by,org.employee,id,N:1,RESTRICT,字段级外键
hr.promotion_request_item,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
reward.reward_case,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
reward.reward_case,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
reward.reward_case,created_by,org.employee,id,N:1,RESTRICT,字段级外键
reward.reward_case,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
reward.reward_case,owner_center_id,org.organization,id,N:1,RESTRICT,字段级外键
reward.reward_case,owner_department_id,org.organization,id,N:1,RESTRICT,字段级外键
reward.reward_case,owner_employee_id,org.employee,id,N:1,RESTRICT,字段级外键
reward.discipline_case,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
reward.discipline_case,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
reward.discipline_case,created_by,org.employee,id,N:1,RESTRICT,字段级外键
reward.discipline_case,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
reward.discipline_case,owner_center_id,org.organization,id,N:1,RESTRICT,字段级外键
reward.discipline_case,owner_department_id,org.organization,id,N:1,RESTRICT,字段级外键
reward.discipline_case,owner_employee_id,org.employee,id,N:1,RESTRICT,字段级外键
reward.point_transaction,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
reward.point_transaction,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
reward.point_transaction,created_by,org.employee,id,N:1,RESTRICT,字段级外键
reward.point_transaction,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
reward.point_transaction,owner_center_id,org.organization,id,N:1,RESTRICT,字段级外键
reward.point_transaction,owner_department_id,org.organization,id,N:1,RESTRICT,字段级外键
reward.point_transaction,owner_employee_id,org.employee,id,N:1,RESTRICT,字段级外键
reward.point_transaction_item,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
reward.point_transaction_item,created_by,org.employee,id,N:1,RESTRICT,字段级外键
reward.point_transaction_item,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
welfare.care_case,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
welfare.care_case,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
welfare.care_case,created_by,org.employee,id,N:1,RESTRICT,字段级外键
welfare.care_case,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
welfare.care_case,owner_center_id,org.organization,id,N:1,RESTRICT,字段级外键
welfare.care_case,owner_department_id,org.organization,id,N:1,RESTRICT,字段级外键
welfare.care_case,owner_employee_id,org.employee,id,N:1,RESTRICT,字段级外键
integration.data_import_job_item,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
integration.data_import_job_item,created_by,org.employee,id,N:1,RESTRICT,字段级外键
integration.data_import_job_item,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
audit.data_export_request_item,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
audit.data_export_request_item,created_by,org.employee,id,N:1,RESTRICT,字段级外键
audit.data_export_request_item,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
audit.data_quality_issue_item,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
audit.data_quality_issue_item,created_by,org.employee,id,N:1,RESTRICT,字段级外键
audit.data_quality_issue_item,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
collaboration.executive_directive,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
collaboration.executive_directive,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
collaboration.executive_directive,created_by,org.employee,id,N:1,RESTRICT,字段级外键
collaboration.executive_directive,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
collaboration.executive_directive,owner_center_id,org.organization,id,N:1,RESTRICT,字段级外键
collaboration.executive_directive,owner_department_id,org.organization,id,N:1,RESTRICT,字段级外键
collaboration.executive_directive,owner_employee_id,org.employee,id,N:1,RESTRICT,字段级外键
collaboration.executive_directive_item,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
collaboration.executive_directive_item,created_by,org.employee,id,N:1,RESTRICT,字段级外键
collaboration.executive_directive_item,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
collaboration.major_matter,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
collaboration.major_matter,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
collaboration.major_matter,created_by,org.employee,id,N:1,RESTRICT,字段级外键
collaboration.major_matter,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
collaboration.major_matter,owner_center_id,org.organization,id,N:1,RESTRICT,字段级外键
collaboration.major_matter,owner_department_id,org.organization,id,N:1,RESTRICT,字段级外键
collaboration.major_matter,owner_employee_id,org.employee,id,N:1,RESTRICT,字段级外键
finance.budget_request,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
finance.budget_request,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
finance.budget_request,created_by,org.employee,id,N:1,RESTRICT,字段级外键
finance.budget_request,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
finance.budget_request,owner_center_id,org.organization,id,N:1,RESTRICT,字段级外键
finance.budget_request,owner_department_id,org.organization,id,N:1,RESTRICT,字段级外键
finance.budget_request,owner_employee_id,org.employee,id,N:1,RESTRICT,字段级外键
finance.budget_request_item,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
finance.budget_request_item,created_by,org.employee,id,N:1,RESTRICT,字段级外键
finance.budget_request_item,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
finance.expense_claim,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
finance.expense_claim,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
finance.expense_claim,created_by,org.employee,id,N:1,RESTRICT,字段级外键
finance.expense_claim,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
finance.expense_claim,owner_center_id,org.organization,id,N:1,RESTRICT,字段级外键
finance.expense_claim,owner_department_id,org.organization,id,N:1,RESTRICT,字段级外键
finance.expense_claim,owner_employee_id,org.employee,id,N:1,RESTRICT,字段级外键
finance.expense_claim_item,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
finance.expense_claim_item,created_by,org.employee,id,N:1,RESTRICT,字段级外键
finance.expense_claim_item,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
finance.loan_request,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
finance.loan_request,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
finance.loan_request,created_by,org.employee,id,N:1,RESTRICT,字段级外键
finance.loan_request,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
finance.loan_request,owner_center_id,org.organization,id,N:1,RESTRICT,字段级外键
finance.loan_request,owner_department_id,org.organization,id,N:1,RESTRICT,字段级外键
finance.loan_request,owner_employee_id,org.employee,id,N:1,RESTRICT,字段级外键
finance.loan_request_item,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
finance.loan_request_item,created_by,org.employee,id,N:1,RESTRICT,字段级外键
finance.loan_request_item,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
finance.reconciliation_task,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
finance.reconciliation_task,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
finance.reconciliation_task,created_by,org.employee,id,N:1,RESTRICT,字段级外键
finance.reconciliation_task,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
finance.reconciliation_task,owner_center_id,org.organization,id,N:1,RESTRICT,字段级外键
finance.reconciliation_task,owner_department_id,org.organization,id,N:1,RESTRICT,字段级外键
finance.reconciliation_task,owner_employee_id,org.employee,id,N:1,RESTRICT,字段级外键
finance.reconciliation_task_item,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
finance.reconciliation_task_item,created_by,org.employee,id,N:1,RESTRICT,字段级外键
finance.reconciliation_task_item,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
hr.employee_onboarding,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
hr.employee_onboarding,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
hr.employee_onboarding,created_by,org.employee,id,N:1,RESTRICT,字段级外键
hr.employee_onboarding,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
hr.employee_onboarding,owner_center_id,org.organization,id,N:1,RESTRICT,字段级外键
hr.employee_onboarding,owner_department_id,org.organization,id,N:1,RESTRICT,字段级外键
hr.employee_onboarding,owner_employee_id,org.employee,id,N:1,RESTRICT,字段级外键
hr.employee_onboarding_item,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
hr.employee_onboarding_item,created_by,org.employee,id,N:1,RESTRICT,字段级外键
hr.employee_onboarding_item,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
hr.employee_transfer,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
hr.employee_transfer,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
hr.employee_transfer,created_by,org.employee,id,N:1,RESTRICT,字段级外键
hr.employee_transfer,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
hr.employee_transfer,owner_center_id,org.organization,id,N:1,RESTRICT,字段级外键
hr.employee_transfer,owner_department_id,org.organization,id,N:1,RESTRICT,字段级外键
hr.employee_transfer,owner_employee_id,org.employee,id,N:1,RESTRICT,字段级外键
hr.employee_transfer_item,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
hr.employee_transfer_item,created_by,org.employee,id,N:1,RESTRICT,字段级外键
hr.employee_transfer_item,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
hr.employee_offboarding,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
hr.employee_offboarding,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
hr.employee_offboarding,created_by,org.employee,id,N:1,RESTRICT,字段级外键
hr.employee_offboarding,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
hr.employee_offboarding,owner_center_id,org.organization,id,N:1,RESTRICT,字段级外键
hr.employee_offboarding,owner_department_id,org.organization,id,N:1,RESTRICT,字段级外键
hr.employee_offboarding,owner_employee_id,org.employee,id,N:1,RESTRICT,字段级外键
hr.employee_offboarding_item,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
hr.employee_offboarding_item,created_by,org.employee,id,N:1,RESTRICT,字段级外键
hr.employee_offboarding_item,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
archive.archive_package,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
archive.archive_package,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
archive.archive_package,created_by,org.employee,id,N:1,RESTRICT,字段级外键
archive.archive_package,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
archive.archive_package,owner_center_id,org.organization,id,N:1,RESTRICT,字段级外键
archive.archive_package,owner_department_id,org.organization,id,N:1,RESTRICT,字段级外键
archive.archive_package,owner_employee_id,org.employee,id,N:1,RESTRICT,字段级外键
archive.archive_package_item,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
archive.archive_package_item,created_by,org.employee,id,N:1,RESTRICT,字段级外键
archive.archive_package_item,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
archive.borrow_request,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
archive.borrow_request,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
archive.borrow_request,created_by,org.employee,id,N:1,RESTRICT,字段级外键
archive.borrow_request,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
archive.borrow_request,owner_center_id,org.organization,id,N:1,RESTRICT,字段级外键
archive.borrow_request,owner_department_id,org.organization,id,N:1,RESTRICT,字段级外键
archive.borrow_request,owner_employee_id,org.employee,id,N:1,RESTRICT,字段级外键
archive.borrow_request_item,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
archive.borrow_request_item,created_by,org.employee,id,N:1,RESTRICT,字段级外键
archive.borrow_request_item,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
archive.disposal_appraisal,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
archive.disposal_appraisal,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
archive.disposal_appraisal,created_by,org.employee,id,N:1,RESTRICT,字段级外键
archive.disposal_appraisal,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
archive.disposal_appraisal,owner_center_id,org.organization,id,N:1,RESTRICT,字段级外键
archive.disposal_appraisal,owner_department_id,org.organization,id,N:1,RESTRICT,字段级外键
archive.disposal_appraisal,owner_employee_id,org.employee,id,N:1,RESTRICT,字段级外键
archive.disposal_appraisal_item,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
archive.disposal_appraisal_item,created_by,org.employee,id,N:1,RESTRICT,字段级外键
archive.disposal_appraisal_item,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
procurement.purchase_request,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
procurement.purchase_request,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
procurement.purchase_request,created_by,org.employee,id,N:1,RESTRICT,字段级外键
procurement.purchase_request,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
procurement.purchase_request,owner_center_id,org.organization,id,N:1,RESTRICT,字段级外键
procurement.purchase_request,owner_department_id,org.organization,id,N:1,RESTRICT,字段级外键
procurement.purchase_request,owner_employee_id,org.employee,id,N:1,RESTRICT,字段级外键
procurement.purchase_request_item,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
procurement.purchase_request_item,created_by,org.employee,id,N:1,RESTRICT,字段级外键
procurement.purchase_request_item,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
procurement.emergency_purchase,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
procurement.emergency_purchase,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
procurement.emergency_purchase,created_by,org.employee,id,N:1,RESTRICT,字段级外键
procurement.emergency_purchase,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
procurement.emergency_purchase,owner_center_id,org.organization,id,N:1,RESTRICT,字段级外键
procurement.emergency_purchase,owner_department_id,org.organization,id,N:1,RESTRICT,字段级外键
procurement.emergency_purchase,owner_employee_id,org.employee,id,N:1,RESTRICT,字段级外键
procurement.emergency_purchase_item,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
procurement.emergency_purchase_item,created_by,org.employee,id,N:1,RESTRICT,字段级外键
procurement.emergency_purchase_item,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
procurement.purchase_return,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
procurement.purchase_return,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
procurement.purchase_return,created_by,org.employee,id,N:1,RESTRICT,字段级外键
procurement.purchase_return,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
procurement.purchase_return,owner_center_id,org.organization,id,N:1,RESTRICT,字段级外键
procurement.purchase_return,owner_department_id,org.organization,id,N:1,RESTRICT,字段级外键
procurement.purchase_return,owner_employee_id,org.employee,id,N:1,RESTRICT,字段级外键
procurement.purchase_return_item,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
procurement.purchase_return_item,created_by,org.employee,id,N:1,RESTRICT,字段级外键
procurement.purchase_return_item,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
ticketing.ticket_order,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
ticketing.ticket_order,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
ticketing.ticket_order,created_by,org.employee,id,N:1,RESTRICT,字段级外键
ticketing.ticket_order,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
ticketing.ticket_order,owner_center_id,org.organization,id,N:1,RESTRICT,字段级外键
ticketing.ticket_order,owner_department_id,org.organization,id,N:1,RESTRICT,字段级外键
ticketing.ticket_order,owner_employee_id,org.employee,id,N:1,RESTRICT,字段级外键
ticketing.ticket_order_item,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
ticketing.ticket_order_item,created_by,org.employee,id,N:1,RESTRICT,字段级外键
ticketing.ticket_order_item,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
ticketing.ticket_refund_change,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
ticketing.ticket_refund_change,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
ticketing.ticket_refund_change,created_by,org.employee,id,N:1,RESTRICT,字段级外键
ticketing.ticket_refund_change,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
ticketing.ticket_refund_change,owner_center_id,org.organization,id,N:1,RESTRICT,字段级外键
ticketing.ticket_refund_change,owner_department_id,org.organization,id,N:1,RESTRICT,字段级外键
ticketing.ticket_refund_change,owner_employee_id,org.employee,id,N:1,RESTRICT,字段级外键
ticketing.ticket_refund_change_item,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
ticketing.ticket_refund_change_item,created_by,org.employee,id,N:1,RESTRICT,字段级外键
ticketing.ticket_refund_change_item,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
ticketing.offline_check_event,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
ticketing.offline_check_event,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
ticketing.offline_check_event,created_by,org.employee,id,N:1,RESTRICT,字段级外键
ticketing.offline_check_event,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
ticketing.offline_check_event,owner_center_id,org.organization,id,N:1,RESTRICT,字段级外键
ticketing.offline_check_event,owner_department_id,org.organization,id,N:1,RESTRICT,字段级外键
ticketing.offline_check_event,owner_employee_id,org.employee,id,N:1,RESTRICT,字段级外键
ticketing.offline_check_event_item,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
ticketing.offline_check_event_item,created_by,org.employee,id,N:1,RESTRICT,字段级外键
ticketing.offline_check_event_item,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
crm.opportunity,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
crm.opportunity,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
crm.opportunity,created_by,org.employee,id,N:1,RESTRICT,字段级外键
crm.opportunity,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
crm.opportunity,owner_center_id,org.organization,id,N:1,RESTRICT,字段级外键
crm.opportunity,owner_department_id,org.organization,id,N:1,RESTRICT,字段级外键
crm.opportunity,owner_employee_id,org.employee,id,N:1,RESTRICT,字段级外键
crm.opportunity_item,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
crm.opportunity_item,created_by,org.employee,id,N:1,RESTRICT,字段级外键
crm.opportunity_item,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
marketing.campaign,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
marketing.campaign,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
marketing.campaign,created_by,org.employee,id,N:1,RESTRICT,字段级外键
marketing.campaign,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
marketing.campaign,owner_center_id,org.organization,id,N:1,RESTRICT,字段级外键
marketing.campaign,owner_department_id,org.organization,id,N:1,RESTRICT,字段级外键
marketing.campaign,owner_employee_id,org.employee,id,N:1,RESTRICT,字段级外键
marketing.campaign_item,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
marketing.campaign_item,created_by,org.employee,id,N:1,RESTRICT,字段级外键
marketing.campaign_item,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
crm.channel_partner,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
crm.channel_partner,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
crm.channel_partner,created_by,org.employee,id,N:1,RESTRICT,字段级外键
crm.channel_partner,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
crm.channel_partner,owner_center_id,org.organization,id,N:1,RESTRICT,字段级外键
crm.channel_partner,owner_department_id,org.organization,id,N:1,RESTRICT,字段级外键
crm.channel_partner,owner_employee_id,org.employee,id,N:1,RESTRICT,字段级外键
crm.channel_partner_item,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
crm.channel_partner_item,created_by,org.employee,id,N:1,RESTRICT,字段级外键
crm.channel_partner_item,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
education.course_product,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
education.course_product,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
education.course_product,created_by,org.employee,id,N:1,RESTRICT,字段级外键
education.course_product,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
education.course_product,owner_center_id,org.organization,id,N:1,RESTRICT,字段级外键
education.course_product,owner_department_id,org.organization,id,N:1,RESTRICT,字段级外键
education.course_product,owner_employee_id,org.employee,id,N:1,RESTRICT,字段级外键
education.study_tour_delivery,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
education.study_tour_delivery,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
education.study_tour_delivery,created_by,org.employee,id,N:1,RESTRICT,字段级外键
education.study_tour_delivery,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
education.study_tour_delivery,owner_center_id,org.organization,id,N:1,RESTRICT,字段级外键
education.study_tour_delivery,owner_department_id,org.organization,id,N:1,RESTRICT,字段级外键
education.study_tour_delivery,owner_employee_id,org.employee,id,N:1,RESTRICT,字段级外键
education.teacher_schedule,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
education.teacher_schedule,workflow_instance_id,workflow.wf_instance,id,N:1,RESTRICT,字段级外键
education.teacher_schedule,created_by,org.employee,id,N:1,RESTRICT,字段级外键
education.teacher_schedule,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
education.teacher_schedule,owner_center_id,org.organization,id,N:1,RESTRICT,字段级外键
education.teacher_schedule,owner_department_id,org.organization,id,N:1,RESTRICT,字段级外键
education.teacher_schedule,owner_employee_id,org.employee,id,N:1,RESTRICT,字段级外键
education.teacher_schedule_item,tenant_id,core.tenant,id,N:1,RESTRICT,字段级外键
education.teacher_schedule_item,created_by,org.employee,id,N:1,RESTRICT,字段级外键
education.teacher_schedule_item,updated_by,org.employee,id,N:1,RESTRICT,字段级外键
